data,eh_feriado,vespera_feriado,eh_reuniao_impacto,tem_refeicao,eh_evento_especial,proteina_vegetariana,total_reservas,total_servido,etapa_acad_1,etapa_acad_2,etapa_acad_3,etapa_acad_4,dia_semana,dia_semana_sin,dia_semana_cos,eh_segunda,eh_sexta,prot_AVE,prot_BOVINA,prot_FEIJOADA,prot_PEIXE,prot_SUINA,total_reservas_lag_1,total_reservas_lag_2,total_reservas_lag_3,total_reservas_lag_7,erro_planejamento_ontem,reservas_media_movel_3d,reservas_media_movel_5d,chuva_ontem,temp_media_ontem,interacao_reserva_evento,interacao_reserva_reuniao,interacao_reserva_v_feriado
2023-08-01,0,0,0,1,0,VEGETAL,131.0,118.0,1,0,0,0,1,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,153.0,115.0,132.0,121.0,-29.0,133.33333333333334,132.6,0.0,21.99,0.0,0.0,0.0
2023-08-02,0,0,0,1,0,VEGETAL,84.0,46.0,1,0,0,0,2,0.9749279121818236,-0.22252093395631434,0,0,1,0,0,0,0,131.0,153.0,115.0,174.0,-13.0,133.0,132.6,0.0,17.98,0.0,0.0,0.0
2023-08-03,0,0,0,1,0,OVO,114.0,109.0,1,0,0,0,3,0.43388373911755823,-0.900968867902419,0,0,0,1,0,0,0,84.0,131.0,153.0,131.0,-38.0,122.66666666666667,123.0,0.0,18.67,0.0,0.0,0.0
2023-08-04,0,0,0,1,0,VEGETAL,84.0,112.0,1,0,0,0,4,-0.433883739117558,-0.9009688679024191,0,1,0,1,0,0,0,114.0,84.0,131.0,132.0,-5.0,109.66666666666667,119.4,0.0,18.42,0.0,0.0,0.0
2023-08-07,0,0,0,1,0,VEGETAL,82.0,103.0,1,0,0,0,0,0.0,1.0,1,0,1,0,0,0,0,84.0,114.0,84.0,132.0,28.0,94.0,113.2,0.0,17.68,0.0,0.0,0.0
2023-08-08,0,0,0,1,0,VEGETAL,135.0,118.0,1,0,0,0,1,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,82.0,84.0,114.0,115.0,21.0,93.33333333333333,99.0,0.0,20.77,0.0,0.0,0.0
2023-08-09,0,0,0,1,0,VEGETAL,108.0,103.0,1,0,0,0,2,0.9749279121818236,-0.22252093395631434,0,0,1,0,0,0,0,135.0,82.0,84.0,153.0,-17.0,100.33333333333333,99.8,0.0,17.34,0.0,0.0,0.0
2023-08-10,0,0,0,1,0,VEGETAL,108.0,109.0,1,0,0,0,3,0.43388373911755823,-0.900968867902419,0,0,0,1,0,0,0,108.0,135.0,82.0,131.0,-5.0,108.33333333333333,104.6,0.0,19.22,0.0,0.0,0.0
2023-08-11,0,0,0,1,0,OVO,84.0,109.0,1,0,0,0,4,-0.433883739117558,-0.9009688679024191,0,1,1,0,0,0,0,108.0,108.0,135.0,84.0,1.0,117.0,103.4,0.0,20.17,0.0,0.0,0.0
2023-08-14,0,0,0,1,0,VEGETAL,98.0,104.0,1,0,0,0,0,0.0,1.0,1,0,0,0,0,0,1,84.0,108.0,108.0,114.0,25.0,100.0,103.4,0.0,21.69,0.0,0.0,0.0
