data,total_servido,total_reservas,etapa_acad_4,erro_planejamento_ontem,reservas_media_movel_5d,total_reservas_lag_2,dia_semana_sin,dia_semana_cos,reservas_media_movel_3d,total_reservas_lag_7,total_reservas_lag_1,dia_semana,eh_segunda,total_reservas_lag_3,etapa_acad_1,temp_media_ontem,eh_sexta,etapa_acad_2,chuva_ontem,etapa_acad_3,bert_660,bert_31,bert_761,vespera_feriado,bert_164,bert_510,bert_437,bert_726,bert_250,bert_341,bert_255,bert_658,bert_419,bert_201,bert_568,bert_659,bert_263,bert_184,bert_129,bert_25,bert_107,bert_399,bert_30,bert_300,bert_729,bert_69,bert_738,bert_447,bert_405,bert_429,bert_113
2023-08-01,118.0,131.0,0,-29.0,132.6,115.0,0.7818314824680298,0.6234898018587336,133.33333333333334,121.0,153.0,1,0,132.0,1,21.99,0,0,0.0,0,0.10147345,0.2815533,0.0016248311,0,-0.0033697598,-0.09583258,0.20762314,-0.2875399,-0.095816866,0.12255684,0.014404552,-0.21387236,0.3935431,0.08237145,0.08144768,0.61820716,0.12977596,-0.052145652,-0.63195485,0.41073105,0.33174366,-0.019982727,0.059974615,-0.18121457,-0.19063817,0.04268353,0.10402151,-0.3506383,0.39302197,-0.22197786,-0.2683831
2023-08-02,46.0,84.0,0,-13.0,132.6,153.0,0.9749279121818236,-0.2225209339563143,133.0,174.0,131.0,2,0,115.0,1,17.98,0,0,0.0,0,0.033797134,0.25169158,0.11578908,0,0.027543012,-0.1552722,0.21628685,-0.20296083,-0.1849707,-0.0002231236,-0.2434819,-0.25865936,0.31048256,0.11547562,0.14649673,1.1179838,0.14691617,0.0279524,-0.39676675,0.54547614,0.3549882,0.11078359,0.10233832,0.038483117,-0.2385137,0.094734564,0.014508787,-0.32422444,0.44034743,-0.13796245,-0.32151055
2023-08-03,109.0,114.0,0,-38.0,123.0,131.0,0.4338837391175582,-0.900968867902419,122.66666666666669,131.0,84.0,3,0,153.0,1,18.67,0,0,0.0,0,0.18223912,0.30702457,0.19079144,0,-0.03238418,0.061017778,-0.050251614,-0.28137067,-0.130612,0.026843315,-0.072855435,-0.23588766,0.44667053,0.14104186,0.096012294,0.5253734,0.16062081,0.04631138,-0.42842388,0.51330453,0.26001796,0.11114105,0.062070653,-0.07890813,-0.1389314,-0.17367601,0.23326106,-0.24523468,0.3714997,-0.27300695,-0.2700489
2023-08-04,112.0,84.0,0,-5.0,119.4,84.0,-0.433883739117558,-0.9009688679024191,109.66666666666669,132.0,114.0,4,0,131.0,1,18.42,1,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-08-07,103.0,82.0,0,28.0,113.2,114.0,0.0,1.0,94.0,132.0,84.0,0,1,84.0,1,17.68,0,0,0.0,0,0.04214011,0.5118758,0.044821598,0,0.002324255,-0.017171893,0.001605983,-0.2515152,-0.38046214,0.028348407,-0.24475831,-0.38642928,0.2950206,0.054655127,0.039235856,0.7549287,0.096966594,-0.07867806,-0.35702628,0.6364637,0.4673127,0.13241667,0.14954807,0.055756588,-0.1790626,0.092392735,0.13952142,-0.26327854,0.39149618,-0.13600582,-0.30759287
2023-08-08,118.0,135.0,0,21.0,99.0,84.0,0.7818314824680298,0.6234898018587336,93.33333333333331,115.0,82.0,1,0,114.0,1,20.77,0,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-08-09,103.0,108.0,0,-17.0,99.8,82.0,0.9749279121818236,-0.2225209339563143,100.33333333333331,153.0,135.0,2,0,84.0,1,17.34,0,0,0.0,0,-0.05222484,0.28193447,-0.10980557,0,0.050490323,-0.16982791,0.106356554,-0.19773674,-0.27015468,0.098424524,-0.28743643,-0.3534128,0.24283534,0.012904735,0.060812306,0.9767081,0.16918895,-0.065695785,-0.348344,0.76367867,0.47474405,0.040345218,0.052822225,-0.04449602,-0.31456614,0.20741493,0.17227434,-0.3034717,0.4348831,-0.13867916,-0.22579183
2023-08-10,109.0,108.0,0,-5.0,104.6,135.0,0.4338837391175582,-0.900968867902419,108.33333333333331,131.0,108.0,3,0,82.0,1,19.22,0,0,0.0,0,0.04769859,0.4604242,0.03822229,0,-0.05333479,-0.17978835,0.12068933,-0.21092835,-0.08862313,0.05027292,-0.054493956,-0.20592877,0.3801403,0.09335621,0.018673634,1.0034171,0.025962273,-0.03618465,-0.46307033,0.5010737,0.4687174,0.0429502,0.16710374,-0.22400887,-0.20686443,0.08811531,0.20169589,-0.22836733,0.43755084,-0.24257222,-0.12739015
2023-08-11,109.0,84.0,0,1.0,103.4,108.0,-0.433883739117558,-0.9009688679024191,117.0,84.0,108.0,4,0,135.0,1,20.17,1,0,0.0,0,0.050319593,0.1891359,0.2387026,0,-0.04085617,0.042418912,0.04422525,-0.05797587,-0.11503,-0.088810556,-0.2482019,-0.3655658,0.32325974,0.18116526,0.19736552,0.8907781,0.222977,0.0980992,-0.3541259,0.56038237,0.3359685,0.2000423,0.05129968,0.13077526,-0.07726397,-0.19803946,0.11811619,-0.14281078,0.37817648,-0.20560335,-0.32223055
2023-08-14,104.0,98.0,0,25.0,103.4,108.0,0.0,1.0,100.0,114.0,84.0,0,1,108.0,1,21.69,0,0,0.0,0,0.026123447,0.15367033,0.15595214,0,0.18088587,-0.08682702,0.14921793,-0.10767325,-0.050350416,0.028616501,0.22867998,-0.38810602,0.35574406,0.1765357,0.16718282,0.5309534,0.25726762,-0.15494491,-0.59608805,0.38374203,0.25736582,-0.03056952,-0.058924012,-0.062035136,-0.18547095,0.028058568,0.14468265,-0.49230656,0.43206385,-0.01084519,-0.36167997
2023-08-15,141.0,162.0,0,6.0,106.6,84.0,0.7818314824680298,0.6234898018587336,96.66666666666669,84.0,98.0,1,0,108.0,1,16.57,0,0,0.0,0,0.04214011,0.5118758,0.044821598,0,0.002324255,-0.017171893,0.001605983,-0.2515152,-0.38046214,0.028348407,-0.24475831,-0.38642928,0.2950206,0.054655127,0.039235856,0.7549287,0.096966594,-0.07867806,-0.35702628,0.6364637,0.4673127,0.13241667,0.14954807,0.055756588,-0.1790626,0.092392735,0.13952142,-0.26327854,0.39149618,-0.13600582,-0.30759287
2023-08-16,110.0,126.0,0,-21.0,112.0,98.0,0.9749279121818236,-0.2225209339563143,114.66666666666669,82.0,162.0,2,0,84.0,1,18.9,0,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-08-17,122.0,127.0,0,-16.0,115.6,162.0,0.4338837391175582,-0.900968867902419,128.66666666666666,135.0,126.0,3,0,98.0,1,20.02,0,0,0.0,0,0.050319593,0.1891359,0.2387026,0,-0.04085617,0.042418912,0.04422525,-0.05797587,-0.11503,-0.088810556,-0.2482019,-0.3655658,0.32325974,0.18116526,0.19736552,0.8907781,0.222977,0.0980992,-0.3541259,0.56038237,0.3359685,0.2000423,0.05129968,0.13077526,-0.07726397,-0.19803946,0.11811619,-0.14281078,0.37817648,-0.20560335,-0.32223055
2023-08-18,129.0,95.0,0,-5.0,119.4,126.0,-0.433883739117558,-0.9009688679024191,138.33333333333334,108.0,127.0,4,0,162.0,1,21.09,1,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-08-21,108.0,99.0,0,34.0,121.6,127.0,0.0,1.0,116.0,108.0,95.0,0,1,126.0,1,20.68,0,0,0.0,0,0.031360433,0.21024665,0.06650998,0,0.094086565,-0.094909206,0.18275745,-0.2790198,-0.15307087,0.08757634,0.014722794,-0.2250475,0.38743216,0.12535009,0.09216539,0.8122669,0.10173578,-0.16756497,-0.5354453,0.59482294,0.36198586,0.07382302,0.07922535,-0.06487474,-0.27264306,0.044045642,0.13723297,-0.41580504,0.4294645,-0.045924906,-0.28538007
2023-08-22,143.0,155.0,0,9.0,121.8,95.0,0.7818314824680298,0.6234898018587336,107.0,84.0,99.0,1,0,127.0,1,20.52,0,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-08-23,124.0,127.0,0,-12.0,120.4,99.0,0.9749279121818236,-0.2225209339563143,116.33333333333331,98.0,155.0,2,0,95.0,1,21.28,0,0,0.0,0,0.09593437,0.15861315,0.32875386,0,0.154571,0.007423351,-0.07820606,-0.12594442,-0.064776525,-0.05376956,0.15549219,-0.42591226,0.42849147,0.24345802,0.21748619,0.43953156,0.24115135,-0.08053225,-0.4276818,0.43816063,0.19556625,0.09179895,0.037007418,-0.014299236,-0.11611251,-0.124560155,0.22957927,-0.35043883,0.39154813,-0.12623344,-0.33779606
2023-08-24,123.0,124.0,0,-3.0,120.6,155.0,0.4338837391175582,-0.900968867902419,127.0,162.0,127.0,3,0,99.0,1,23.39,0,0,0.0,0,0.033797134,0.25169158,0.11578908,0,0.027543012,-0.1552722,0.21628685,-0.20296083,-0.1849707,-0.0002231236,-0.2434819,-0.25865936,0.31048256,0.11547562,0.14649673,1.1179838,0.14691617,0.0279524,-0.39676675,0.54547614,0.3549882,0.11078359,0.10233832,0.038483117,-0.2385137,0.094734564,0.014508787,-0.32422444,0.44034743,-0.13796245,-0.32151055
2023-08-25,127.0,97.0,0,-1.0,120.0,127.0,-0.433883739117558,-0.9009688679024191,135.33333333333334,126.0,124.0,4,0,155.0,1,24.9,1,0,0.0,0,0.052154224,0.2093959,0.26459825,0,-0.115745455,-0.14476337,-0.069082506,-0.067558266,-0.1982977,-0.046806242,-0.13904947,-0.34751713,0.433996,0.28681877,0.20262116,0.96398735,0.2434661,0.26730487,-0.28935,0.54571384,0.29818046,0.029130233,0.25124952,-0.0029956475,-0.13809764,-0.0363016,0.17559479,-0.39359573,0.4561659,-0.06850932,-0.18195516
2023-08-28,111.0,90.0,0,30.0,120.4,124.0,0.0,1.0,116.0,127.0,97.0,0,1,127.0,1,18.61,0,0,0.9,0,-0.009425668,0.573444,0.12912399,0,-0.06555765,0.009296784,-0.022414817,-0.21410486,-0.31461492,-0.007902154,-0.23976238,-0.396004,0.26396388,-0.011541588,0.028484514,0.53580457,0.07517425,-0.053066198,-0.4204986,0.5590577,0.47052974,0.030329525,0.121303186,-0.042535134,-0.121454,-0.0002815085,0.19423155,-0.14887105,0.37279078,-0.24106416,-0.2637917
2023-08-29,135.0,151.0,0,21.0,118.6,97.0,0.7818314824680298,0.6234898018587336,103.66666666666669,95.0,90.0,1,0,124.0,1,13.3,0,0,0.0,0,-0.070110194,0.43970323,0.29540265,0,0.1663964,0.045866568,-0.18005466,-0.09810343,-0.27859092,-0.121041924,-0.1395355,-0.6452878,0.29997465,0.15262054,0.112624265,0.31881666,0.20168859,0.08745856,-0.34427357,0.44990078,0.3251678,0.048218925,0.06802934,0.039871458,-0.028923946,-0.28202397,0.1772685,-0.24220079,0.28541934,-0.16698259,-0.38511994
2023-08-30,116.0,118.0,0,-16.0,117.8,90.0,0.9749279121818236,-0.2225209339563143,112.66666666666669,99.0,151.0,2,0,97.0,1,15.99,0,0,0.0,0,-0.05222484,0.28193447,-0.10980557,0,0.050490323,-0.16982791,0.106356554,-0.19773674,-0.27015468,0.098424524,-0.28743643,-0.3534128,0.24283534,0.012904735,0.060812306,0.9767081,0.16918895,-0.065695785,-0.348344,0.76367867,0.47474405,0.040345218,0.052822225,-0.04449602,-0.31456614,0.20741493,0.17227434,-0.3034717,0.4348831,-0.13867916,-0.22579183
2023-08-31,119.0,117.0,0,-2.0,116.0,151.0,0.4338837391175582,-0.900968867902419,119.66666666666669,155.0,118.0,3,0,90.0,1,17.77,0,0,0.0,0,-0.009425668,0.573444,0.12912399,0,-0.06555765,0.009296784,-0.022414817,-0.21410486,-0.31461492,-0.007902154,-0.23976238,-0.396004,0.26396388,-0.011541588,0.028484514,0.53580457,0.07517425,-0.053066198,-0.4204986,0.5590577,0.47052974,0.030329525,0.121303186,-0.042535134,-0.121454,-0.0002815085,0.19423155,-0.14887105,0.37279078,-0.24106416,-0.2637917
2023-10-02,99.0,88.0,0,2.0,114.6,118.0,0.0,1.0,128.66666666666666,127.0,117.0,0,1,151.0,1,17.45,0,0,0.0,0,-0.009425668,0.573444,0.12912399,0,-0.06555765,0.009296784,-0.022414817,-0.21410486,-0.31461492,-0.007902154,-0.23976238,-0.396004,0.26396388,-0.011541588,0.028484514,0.53580457,0.07517425,-0.053066198,-0.4204986,0.5590577,0.47052974,0.030329525,0.121303186,-0.042535134,-0.121454,-0.0002815085,0.19423155,-0.14887105,0.37279078,-0.24106416,-0.2637917
2023-10-04,115.0,114.0,0,11.0,112.8,117.0,0.9749279121818236,-0.2225209339563143,107.66666666666669,124.0,88.0,2,0,118.0,1,18.92,0,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-10-05,107.0,113.0,0,1.0,117.6,88.0,0.4338837391175582,-0.900968867902419,106.33333333333331,97.0,114.0,3,0,117.0,1,23.45,0,0,0.0,0,0.09145,0.4842272,0.12495606,0,-0.08784105,0.066857226,-0.017229484,-0.0921148,-0.08764727,-0.11623476,-0.10320627,-0.33846825,0.55803436,0.0794216,-0.02133925,1.1211488,0.11586103,0.08173952,-0.3058298,0.6958382,0.34763715,0.24867931,0.1037592,-0.06346352,0.0034126015,-0.041365806,0.19299898,-0.09896623,0.33884865,-0.10201738,-0.32309258
2023-10-06,115.0,84.0,1,-6.0,110.0,114.0,-0.433883739117558,-0.9009688679024191,105.0,90.0,113.0,4,0,88.0,0,22.35,1,0,0.0,0,0.10147345,0.2815533,0.0016248311,0,-0.0033697598,-0.09583258,0.20762314,-0.2875399,-0.095816866,0.12255684,0.014404552,-0.21387236,0.3935431,0.08237145,0.08144768,0.61820716,0.12977596,-0.052145652,-0.63195485,0.41073105,0.33174366,-0.019982727,0.059974615,-0.18121457,-0.19063817,0.04268353,0.10402151,-0.3506383,0.39302197,-0.22197786,-0.2683831
2023-10-09,65.0,76.0,1,31.0,103.2,113.0,0.0,1.0,103.66666666666669,151.0,84.0,0,1,114.0,0,24.49,0,0,0.0,0,0.10147345,0.2815533,0.0016248311,0,-0.0033697598,-0.09583258,0.20762314,-0.2875399,-0.095816866,0.12255684,0.014404552,-0.21387236,0.3935431,0.08237145,0.08144768,0.61820716,0.12977596,-0.052145652,-0.63195485,0.41073105,0.33174366,-0.019982727,0.059974615,-0.18121457,-0.19063817,0.04268353,0.10402151,-0.3506383,0.39302197,-0.22197786,-0.2683831
2023-10-16,78.0,74.0,1,-11.0,95.0,84.0,0.0,1.0,91.0,118.0,76.0,0,1,113.0,0,20.95,0,0,0.5,0,0.04214011,0.5118758,0.044821598,0,0.002324255,-0.017171893,0.001605983,-0.2515152,-0.38046214,0.028348407,-0.24475831,-0.38642928,0.2950206,0.054655127,0.039235856,0.7549287,0.096966594,-0.07867806,-0.35702628,0.6364637,0.4673127,0.13241667,0.14954807,0.055756588,-0.1790626,0.092392735,0.13952142,-0.26327854,0.39149618,-0.13600582,-0.30759287
2023-10-17,66.0,103.0,1,4.0,92.2,76.0,0.7818314824680298,0.6234898018587336,78.0,117.0,74.0,1,0,84.0,0,23.4,0,0,0.0,0,0.06573905,0.3489972,0.06887399,0,-0.039854277,-0.1770547,0.26398075,-0.15763895,-0.16907755,0.019535778,-0.17458247,-0.22375956,0.3481043,0.10009327,0.111470565,0.83595306,0.13218416,0.012231555,-0.518159,0.44177565,0.3581203,0.0054258923,0.08617098,-0.076479085,-0.19406477,-0.0072908998,0.09547547,-0.25560322,0.4129927,-0.31132594,-0.27584046
2023-10-18,55.0,90.0,1,-37.0,90.0,74.0,0.9749279121818236,-0.2225209339563143,84.33333333333333,88.0,103.0,2,0,76.0,0,23.54,0,0,0.0,0,-0.08155357,0.1956618,0.18332256,0,0.1803539,-0.2115048,0.1721112,-0.08967853,-0.1355899,-0.035984695,-0.03353742,-0.37859854,0.34167844,0.19639362,0.21149871,0.820908,0.26447096,-0.03555247,-0.45736206,0.45840696,0.28357267,0.0065447832,-0.029096324,0.060556605,-0.1756672,-0.005720562,0.14853151,-0.4843245,0.4758583,-0.10721057,-0.3493109
2023-10-19,44.0,89.0,1,-35.0,85.4,103.0,0.4338837391175582,-0.900968867902419,89.0,114.0,90.0,3,0,74.0,0,19.68,0,0,0.0,0,0.13662365,0.35328525,0.024503779,0,0.05891242,-0.22154458,0.116969176,-0.24575108,-0.092492685,0.13278583,-0.07711555,-0.27722943,0.39415538,0.15609382,0.08816245,1.305847,0.11894704,0.011258664,-0.41578346,0.57281077,0.42925903,0.09589224,0.17311396,-0.13270703,-0.22298081,0.16467449,0.10853916,-0.37296155,0.47736338,-0.100564234,-0.2050784
2023-10-23,85.0,78.0,1,-45.0,86.4,90.0,0.0,1.0,94.0,113.0,89.0,0,1,103.0,0,17.51,0,0,0.0,0,0.10147345,0.2815533,0.0016248311,0,-0.0033697598,-0.09583258,0.20762314,-0.2875399,-0.095816866,0.12255684,0.014404552,-0.21387236,0.3935431,0.08237145,0.08144768,0.61820716,0.12977596,-0.052145652,-0.63195485,0.41073105,0.33174366,-0.019982727,0.059974615,-0.18121457,-0.19063817,0.04268353,0.10402151,-0.3506383,0.39302197,-0.22197786,-0.2683831
2023-10-24,121.0,127.0,1,7.0,86.8,89.0,0.7818314824680298,0.6234898018587336,85.66666666666667,84.0,78.0,1,0,90.0,0,22.61,0,0,0.0,0,0.04214011,0.5118758,0.044821598,0,0.002324255,-0.017171893,0.001605983,-0.2515152,-0.38046214,0.028348407,-0.24475831,-0.38642928,0.2950206,0.054655127,0.039235856,0.7549287,0.096966594,-0.07867806,-0.35702628,0.6364637,0.4673127,0.13241667,0.14954807,0.055756588,-0.1790626,0.092392735,0.13952142,-0.26327854,0.39149618,-0.13600582,-0.30759287
