data,evento,eh_feriado,vespera_feriado,eh_reuniao_impacto,tem_refeicao,eh_evento_especial,etapa,temp_media,temp_max,temp_min,chuva_soma,vento_max,proteina_principal,preparo_principal,proteina_vegetariana,total_reservas,total_servido,reservou_e_comeu,reservou_e_nao_comeu,nao_reservou_e_comeu
2023-02-13,DIA LETIVO PADRAO,0,0,0,1,0,3,22.66,27.7,18.1,0.0,16.31,BOVINA,COZIDO,VEGETAL,121.0,111.0,97.0,24.0,14.0
2023-02-14,DIA LETIVO PADRAO,0,0,0,1,0,3,23.62,29.6,17.9,0.0,15.14,BOVINA,COZIDO,VEGETAL,174.0,120.0,120.0,54.0,0.0
2023-02-15,DIA LETIVO PADRAO,0,0,0,1,0,3,24.97,30.85,20.15,0.0,20.77,AVE,MOLHO,VEGETAL,131.0,104.0,104.0,27.0,0.0
2023-02-16,DIA LETIVO PADRAO,0,0,0,1,0,3,24.26,28.95,20.9,0.0,22.66,BOVINA,COZIDO,VEGETAL,132.0,104.0,104.0,28.0,0.0
2023-02-23,DIA LETIVO PADRAO,0,0,0,1,0,3,22.21,27.4,18.9,0.0,9.57,PEIXE,COZIDO,OVO,132.0,109.0,109.0,23.0,0.0
2023-02-27,DIA LETIVO PADRAO,0,0,0,1,0,3,23.22,28.8,20.45,0.0,14.33,BOVINA,ASSADO,VEGETAL,115.0,114.0,93.0,22.0,21.0
2023-02-28,DIA LETIVO PADRAO,0,0,0,1,0,3,21.99,25.45,19.5,0.0,10.37,BOVINA,ASSADO,VEGETAL,153.0,124.0,122.0,31.0,2.0
2023-08-01,DIA LETIVO PADRAO,0,0,0,1,0,0,17.98,24.15,14.6,0.0,9.47,BOVINA,ASSADO,VEGETAL,131.0,118.0,116.0,15.0,2.0
2023-08-02,DIA LETIVO PADRAO,0,0,0,1,0,0,18.67,28.35,12.5,0.0,4.21,AVE,COZIDO,VEGETAL,84.0,46.0,33.0,51.0,13.0
2023-08-03,DIA LETIVO PADRAO,0,0,0,1,0,0,18.42,28.55,10.05,0.0,15.94,BOVINA,ASSADO,OVO,114.0,109.0,108.0,6.0,1.0
