data,proteina_principal,preparo_principal,proteina_vegetariana
2023-02-12,BOVINA,COZIDO,VEGETAL
2023-02-13,BOVINA,COZIDO,VEGETAL
2023-02-14,BOVINA,COZIDO,VEGETAL
2023-02-15,AVE,MOLHO,VEGETAL
2023-02-16,BOVINA,COZIDO,VEGETAL
2023-02-19,SUINA,ASSADO,VEGETAL
2023-02-20,AVE,FRITO,VEGETAL
2023-02-21,BOVINA,ASSADO,VEGETAL
2023-02-22,AVE,FORNO,VEGETAL
2023-02-23,PEIXE,COZIDO,OVO
2023-02-26,AVE,ASSADO,VEGETAL
2023-02-27,BOVINA,ASSADO,VEGETAL
2023-02-28,BOVINA,ASSADO,VEGETAL
2023-08-01,BOVINA,ASSADO,VEGETAL
2023-08-02,AVE,COZIDO,VEGETAL
2023-08-03,BOVINA,ASSADO,OVO
2023-08-04,BOVINA,COZIDO,VEGETAL
2023-08-07,AVE,MOLHO,VEGETAL
2023-08-08,BOVINA,COZIDO,VEGETAL
2023-08-09,AVE,GRELHADO,VEGETAL
2023-08-10,BOVINA,FRITO,VEGETAL
2023-08-11,AVE,COZIDO,OVO
2023-08-14,SUINA,ASSADO,VEGETAL
2023-08-15,AVE,MOLHO,VEGETAL
2023-08-16,BOVINA,COZIDO,VEGETAL
2023-08-17,AVE,COZIDO,OVO
2023-08-18,BOVINA,COZIDO,VEGETAL
2023-08-21,AVE,ASSADO,VEGETAL
2023-08-22,BOVINA,COZIDO,VEGETAL
2023-08-23,SUINA,ASSADO,OVO
2023-08-24,AVE,COZIDO,VEGETAL
2023-08-25,PEIXE,FRITO,OVO
2023-08-28,BOVINA,MOLHO,VEGETAL
2023-08-29,SUINA,MOLHO,OVO
2023-08-30,AVE,GRELHADO,VEGETAL
2023-08-31,BOVINA,MOLHO,VEGETAL
2023-10-02,BOVINA,MOLHO,VEGETAL
2023-10-03,AVE,COZIDO,VEGETAL
2023-10-04,BOVINA,COZIDO,VEGETAL
2023-10-05,AVE,FORNO,OVO
2023-10-06,BOVINA,ASSADO,VEGETAL
2023-10-09,BOVINA,ASSADO,VEGETAL
2023-10-12,BOVINA,COZIDO,VEGETAL
2023-10-13,BOVINA,COZIDO,VEGETAL
2023-10-16,AVE,MOLHO,VEGETAL
2023-10-17,BOVINA,COZIDO,VEGETAL
2023-10-18,SUINA,COZIDO,VEGETAL
2023-10-19,AVE,FRITO,VEGETAL
2023-10-20,BOVINA,COZIDO,OVO
2023-10-23,BOVINA,ASSADO,VEGETAL
2023-10-24,AVE,MOLHO,VEGETAL
2023-10-25,BOVINA,FORNO,OVO
2023-10-26,AVE,ASSADO,VEGETAL
2023-10-27,BOVINA,COZIDO,VEGETAL
2023-10-30,AVE,COZIDO,VEGETAL
2023-10-31,BOVINA,COZIDO,VEGETAL
2023-12-01,PEIXE,FRITO,VEGETAL
2023-12-04,SUINA,ASSADO,VEGETAL
2023-12-05,AVE,GRELHADO,OVO
2023-12-06,BOVINA,COZIDO,VEGETAL
2023-12-07,AVE,MOLHO,VEGETAL
2023-12-08,AVE,ASSADO,OVO
2023-12-11,AVE,ASSADO,VEGETAL
2023-12-12,BOVINA,COZIDO,VEGETAL
2023-12-13,FEIJOADA,COZIDO,FEIJOADA
2023-12-19,AVE,COZIDO,VEGETAL
2023-12-20,BOVINA,MOLHO,VEGETAL
2023-12-25,BOVINA,COZIDO,VEGETAL
2023-12-26,BOVINA,COZIDO,VEGETAL
2023-12-27,BOVINA,COZIDO,VEGETAL
2023-12-28,BOVINA,COZIDO,VEGETAL
2023-12-29,BOVINA,COZIDO,VEGETAL
2024-02-01,AVE,COZIDO,VEGETAL
2024-02-02,BOVINA,MOLHO,VEGETAL
2024-02-05,BOVINA,ASSADO,VEGETAL
2024-02-06,SUINA,COZIDO,VEGETAL
2024-02-07,AVE,COZIDO,OVO
2024-02-08,BOVINA,COZIDO,VEGETAL
2024-02-09,BOVINA,COZIDO,VEGETAL
2024-03-01,PEIXE,FRITO,VEGETAL
2024-03-04,AVE,COZIDO,VEGETAL
2024-03-05,SUINA,ASSADO,OVO
2024-03-06,BOVINA,MOLHO,VEGETAL
2024-03-07,AVE,ASSADO,VEGETAL
2024-03-08,BOVINA,ASSADO,VEGETAL
2024-03-11,BOVINA,COZIDO,OVO
2024-03-12,AVE,COZIDO,VEGETAL
2024-03-13,SUINA,COZIDO,VEGETAL
2024-03-14,BOVINA,ASSADO,VEGETAL
2024-03-15,AVE,FRITO,VEGETAL
2024-03-18,AVE,FORNO,VEGETAL
2024-03-19,BOVINA,COZIDO,VEGETAL
2024-03-20,AVE,COZIDO,VEGETAL
2024-03-21,SUINA,ASSADO,OVO
2024-03-22,BOVINA,COZIDO,VEGETAL
2024-03-25,BOVINA,ASSADO,VEGETAL
2024-03-26,BOVINA,COZIDO,VEGETAL
2024-03-27,BOVINA,COZIDO,VEGETAL
2024-03-28,BOVINA,COZIDO,VEGETAL
2024-04-01,AVE,COZIDO,VEGETAL
2024-04-02,BOVINA,COZIDO,VEGETAL
2024-04-03,SUINA,ASSADO,VEGETAL
2024-04-04,BOVINA,COZIDO,VEGETAL
2024-04-05,BOVINA,ASSADO,VEGETAL
2024-04-08,BOVINA,COZIDO,VEGETAL
2024-04-09,AVE,COZIDO,VEGETAL
2024-04-10,BOVINA,COZIDO,VEGETAL
2024-04-11,AVE,FRITO,VEGETAL
2024-04-12,PEIXE,COZIDO,OVO
2024-04-15,AVE,MOLHO,VEGETAL
2024-04-16,BOVINA,ASSADO,VEGETAL
2024-04-17,AVE,COZIDO,VEGETAL
2024-04-18,SUINA,COZIDO,VEGETAL
2024-04-19,AVE,ASSADO,VEGETAL
2024-04-22,BOVINA,COZIDO,VEGETAL
2024-04-23,SUINA,COZIDO,OVO
2024-04-24,BOVINA,FORNO,VEGETAL
2024-04-25,AVE,COZIDO,VEGETAL
2024-04-26,BOVINA,MOLHO,VEGETAL
2024-04-29,AVE,COZIDO,VEGETAL
2024-04-30,BOVINA,ASSADO,OVO
2024-05-01,BOVINA,COZIDO,VEGETAL
2024-05-02,BOVINA,COZIDO,VEGETAL
2024-05-03,SUINA,COZIDO,VEGETAL
2024-05-06,BOVINA,MOLHO,VEGETAL
2024-05-07,BOVINA,ASSADO,VEGETAL
2024-05-08,BOVINA,COZIDO,VEGETAL
2024-05-09,SUINA,ASSADO,VEGETAL
2024-05-10,AVE,GRELHADO,OVO
2024-05-13,BOVINA,FRITO,VEGETAL
2024-05-14,BOVINA,FRITO,OVO
2024-05-15,SUINA,ASSADO,VEGETAL
2024-05-16,BOVINA,COZIDO,VEGETAL
2024-05-17,AVE,COZIDO,VEGETAL
2024-05-20,BOVINA,COZIDO,VEGETAL
2024-05-21,AVE,COZIDO,VEGETAL
2024-05-22,FEIJOADA,COZIDO,FEIJOADA
2024-05-23,BOVINA,ASSADO,VEGETAL
2024-05-24,PEIXE,FRITO,VEGETAL
2024-05-27,BOVINA,COZIDO,OVO
2024-05-28,AVE,FORNO,VEGETAL
2024-05-29,BOVINA,ASSADO,VEGETAL
2024-06-03,BOVINA,COZIDO,VEGETAL
2024-06-04,AVE,COZIDO,VEGETAL
2024-06-05,SUINA,ASSADO,OVO
2024-06-06,BOVINA,MOLHO,VEGETAL
2024-06-07,AVE,ASSADO,VEGETAL
2024-06-10,BOVINA,ASSADO,VEGETAL
2024-06-11,AVE,COZIDO,VEGETAL
2024-06-12,BOVINA,COZIDO,OVO
2024-06-13,SUINA,COZIDO,VEGETAL
2024-06-14,PEIXE,FRITO,VEGETAL
2024-06-17,AVE,FRITO,VEGETAL
2024-06-18,BOVINA,ASSADO,OVO
2024-06-19,FEIJOADA,COZIDO,FEIJOADA
2024-06-20,BOVINA,ASSADO,VEGETAL
2024-06-21,AVE,FORNO,VEGETAL
2024-06-24,BOVINA,ASSADO,VEGETAL
2024-06-25,BOVINA,COZIDO,VEGETAL
2024-06-26,BOVINA,COZIDO,VEGETAL
2024-06-27,AVE,FORNO,VEGETAL
2024-06-28,BOVINA,COZIDO,VEGETAL
2024-07-01,BOVINA,FORNO,VEGETAL
2024-07-02,AVE,COZIDO,VEGETAL
2024-07-03,BOVINA,COZIDO,VEGETAL
2024-07-04,SUINA,COZIDO,OVO
2024-07-05,BOVINA,COZIDO,VEGETAL
2024-07-08,SUINA,COZIDO,VEGETAL
