data,temp_media,temp_max,temp_min,chuva_soma,vento_max
2023-01-01,21.63,26.1,17.65,0.0,7.39
2023-01-02,22.65,28.35,17.4,0.0,10.69
2023-01-03,22.73,26.95,18.4,0.0,20.57
2023-01-04,21.12,24.95,17.85,6.8,19.64
2023-01-05,17.35,18.2,16.7,18.0,10.25
2023-01-06,16.63,17.15,15.85,9.4,12.31
2023-01-07,17.22,19.55,15.55,0.0,12.78
2023-01-08,18.25,21.6,15.25,0.0,11.97
2023-01-09,19.75,23.0,17.8,0.1,12.24
2023-01-10,21.36,24.85,18.1,0.0,10.69
2023-01-11,21.5,24.65,18.6,1.4,15.27
2023-01-12,22.37,27.15,18.3,0.0,15.55
2023-01-13,23.15,27.35,19.35,0.0,18.0
2023-01-14,23.96,29.25,19.55,0.0,19.69
2023-01-15,24.8,31.3,19.9,0.0,10.8
2023-01-16,24.07,30.5,19.65,0.0,13.4
2023-01-17,24.62,30.3,20.55,0.0,13.68
2023-01-18,23.62,29.25,19.95,0.0,15.46
2023-01-19,22.56,28.7,18.7,0.0,13.05
2023-01-20,21.18,24.4,18.65,0.0,9.73
2023-01-21,22.09,27.6,18.45,0.0,12.64
2023-01-22,24.05,29.6,18.85,0.0,12.43
2023-01-23,23.3,28.3,19.35,0.0,11.38
2023-01-24,22.44,26.85,19.7,0.0,11.97
2023-01-25,22.68,29.2,17.75,0.0,17.85
2023-01-26,22.48,29.75,16.95,0.0,17.1
2023-01-27,22.25,29.6,16.4,0.0,18.97
2023-01-28,22.92,28.45,18.6,0.0,9.03
2023-01-29,23.53,28.85,19.5,0.0,12.59
2023-01-30,23.0,28.1,18.8,0.0,16.2
2023-01-31,23.86,29.2,19.15,0.0,17.79
2023-02-01,23.31,27.9,19.9,0.0,10.5
2023-02-02,23.85,29.2,19.55,0.0,13.78
2023-02-03,24.12,28.7,20.75,0.0,24.44
2023-02-04,23.68,27.65,20.95,0.0,22.16
2023-02-05,23.92,28.15,20.65,0.0,18.33
2023-02-06,23.3,28.3,19.25,0.0,14.93
2023-02-07,21.63,26.05,19.3,0.0,11.93
2023-02-08,21.61,26.25,18.1,0.0,14.17
2023-02-09,21.85,28.3,16.7,0.0,14.08
2023-02-10,22.48,27.65,18.35,0.0,11.92
2023-02-11,21.26,24.0,19.4,5.9,10.8
2023-02-12,22.09,26.45,18.95,0.1,16.8
2023-02-13,22.66,27.7,18.1,0.0,16.31
2023-02-14,23.62,29.6,17.9,0.0,15.14
2023-02-15,24.97,30.85,20.15,0.0,20.77
2023-02-16,24.26,28.95,20.9,0.0,22.66
2023-02-17,24.66,29.35,20.7,0.0,23.84
2023-02-18,22.39,26.7,19.4,8.8,13.04
2023-02-19,19.13,20.8,17.5,79.2,15.46
2023-02-20,22.46,28.2,18.1,0.0,9.5
2023-02-21,22.93,28.35,18.2,0.0,15.04
2023-02-22,21.98,27.6,18.5,0.0,12.23
2023-02-23,22.21,27.4,18.9,0.0,9.57
2023-02-24,23.24,29.1,18.35,0.0,15.58
2023-02-25,23.97,29.75,19.25,0.0,19.73
2023-02-26,24.54,30.6,18.9,0.0,15.48
2023-02-27,23.22,28.8,20.45,0.0,14.33
2023-02-28,21.99,25.45,19.5,0.0,10.37
2023-03-01,22.99,29.35,18.3,0.0,12.78
2023-03-02,23.85,30.1,18.55,0.0,11.53
2023-03-03,24.07,30.4,18.75,0.0,10.44
2023-03-04,23.62,29.2,19.2,0.0,15.04
2023-03-05,23.07,28.25,18.55,0.0,15.7
2023-03-06,22.5,27.1,19.15,0.0,12.6
2023-03-07,22.71,29.5,17.15,0.0,14.56
2023-03-08,23.23,29.65,17.65,0.0,10.93
2023-03-09,23.13,29.55,18.75,0.0,7.2
2023-03-10,22.58,28.4,19.4,0.6,8.5
2023-03-11,21.43,24.6,19.35,0.7,6.03
2023-03-12,21.47,25.15,18.85,0.1,9.66
2023-03-13,22.13,26.3,19.8,0.0,9.73
2023-03-14,21.8,25.1,19.8,0.0,10.0
2023-03-15,22.02,27.0,18.4,0.0,13.28
2023-03-16,21.89,28.2,17.1,0.0,16.3
2023-03-17,21.28,27.75,16.35,0.0,16.56
2023-03-18,21.95,28.35,17.45,0.0,13.36
2023-03-19,23.07,29.5,18.1,0.0,12.4
2023-03-20,23.25,30.15,19.2,0.0,9.83
2023-03-21,22.26,29.75,16.35,0.0,16.6
2023-03-22,22.01,29.0,16.7,0.0,15.28
2023-03-23,22.64,29.5,17.25,0.0,12.56
2023-03-24,23.77,30.75,18.55,0.0,11.75
2023-03-25,23.21,29.9,17.9,0.0,12.18
2023-03-26,24.51,31.3,18.6,0.0,17.37
2023-03-27,21.59,24.7,19.65,0.0,13.68
2023-03-28,21.48,27.5,18.1,0.0,11.59
2023-03-29,22.19,28.1,17.75,0.0,8.65
2023-03-30,23.35,29.5,17.4,0.0,10.79
2023-03-31,22.12,28.35,17.0,0.0,12.66
2023-04-01,22.06,28.65,18.1,0.0,18.33
2023-04-02,19.02,21.8,16.8,0.0,12.25
2023-04-03,19.57,25.6,14.8,0.0,11.46
2023-04-04,21.37,28.1,16.2,0.0,13.71
2023-04-05,20.58,26.3,17.15,0.0,13.24
2023-04-06,20.23,25.3,17.3,0.0,11.59
2023-04-07,19.67,21.0,18.55,4.8,5.05
2023-04-08,19.44,21.45,18.05,0.0,9.03
2023-04-09,18.93,20.55,17.8,0.0,10.5
2023-04-10,19.0,24.8,15.25,0.0,14.4
2023-04-11,19.63,25.95,14.5,0.0,9.51
2023-04-12,21.07,26.7,17.1,0.0,8.79
2023-04-13,21.83,27.5,17.3,0.0,10.01
2023-04-14,20.42,22.7,18.2,0.3,8.21
2023-04-15,19.98,22.6,18.5,0.0,11.97
2023-04-16,20.99,26.05,17.75,0.0,10.3
2023-04-17,22.22,27.9,17.6,0.0,21.92
2023-04-18,21.82,24.15,19.85,12.1,20.63
2023-04-19,20.99,24.65,17.05,12.0,17.46
2023-04-20,16.77,21.55,13.4,0.0,12.72
2023-04-21,15.82,22.45,10.5,0.0,13.0
2023-04-22,17.29,23.25,12.15,0.0,10.46
2023-04-23,18.58,24.3,14.4,0.0,11.75
2023-04-24,18.34,24.4,14.35,0.0,13.83
2023-04-25,18.87,25.9,13.2,0.0,7.93
2023-04-26,19.48,25.4,15.9,0.0,15.27
2023-04-27,19.86,24.55,17.25,0.0,13.04
2023-04-28,18.45,20.55,16.7,0.0,9.59
2023-04-29,18.54,23.5,15.5,0.0,10.38
2023-04-30,19.86,25.3,15.95,0.0,8.67
2023-05-01,20.28,26.75,16.45,0.0,12.1
2023-05-02,20.4,25.65,16.95,0.0,10.74
2023-05-03,20.69,26.45,16.1,0.0,6.79
2023-05-04,21.66,27.65,17.2,0.0,9.57
2023-05-05,21.09,27.1,16.4,0.0,11.21
2023-05-06,21.13,26.5,17.65,0.0,9.93
2023-05-07,20.92,26.2,16.6,0.0,8.71
2023-05-08,21.25,27.4,15.1,0.0,10.8
2023-05-09,19.87,25.5,14.7,0.0,12.78
2023-05-10,19.71,22.85,18.0,0.0,9.0
2023-05-11,19.01,23.55,16.05,0.0,11.5
2023-05-12,16.09,19.7,13.8,0.0,10.09
2023-05-13,15.42,20.2,12.6,0.0,9.69
2023-05-14,15.69,22.55,10.0,0.0,6.92
2023-05-15,15.77,22.55,11.15,0.0,6.88
2023-05-16,15.04,22.65,6.65,0.0,12.31
2023-05-17,15.72,20.8,13.0,0.0,13.61
2023-05-18,15.38,21.25,11.5,0.0,10.24
2023-05-19,15.16,21.7,10.8,0.0,8.77
2023-05-20,15.63,22.9,10.6,0.0,8.05
2023-05-21,16.33,23.55,9.35,0.0,5.5
2023-05-22,17.56,23.45,12.75,0.0,9.9
2023-05-23,17.56,23.7,11.55,0.0,7.09
2023-05-24,17.81,23.5,11.5,0.0,11.12
2023-05-25,18.83,24.9,14.95,0.0,6.79
