data,id_aluno_anonimo,turma,categoria_reserva,dia_semana
2025-02-24,772130313177,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,a9d0dd49108a,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,47ea4259aebe,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,040eef61e258,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,33acb4bc7754,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,9ea9ebb83721,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,2a22f48c531e,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,4e184a46a6f6,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,de2191ca835f,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,293d4dade7b4,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,2805df6072ae,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,1e57be41a013,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,90f5a0342ec9,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,3d97ba9f7523,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,772a94c9d8c7,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,a798330c2351,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,5a165e86851e,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,b2d88ec926a1,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,dce3c331d630,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,ef29dc683090,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,9884b9bfb8fc,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,dd07d058b106,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,9265272adfd5,1º A - MEC,PRATO VEGETARIANO (A OPÇÃO PROTÉICA NÃO É CARNE),Segunda-feira
2025-02-24,2877a4c33350,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,33262203a977,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,023886d488c5,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,efdc2c15dba5,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,f952e271f8eb,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,05dc8738db99,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,4018ed976111,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,1e5e8f282d59,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,ebb56062e4d9,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,4085b0a131d5,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,2022c28006fb,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,1b0984d51aa7,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,bf04e4b2c5fd,1º A - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,ea36f6b0016c,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,654f874b1492,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,f046fedc86bc,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,c33c2152e936,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,13aa0b70205d,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,531be3f53cb6,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,65c4dfa54706,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,63e872be2ff0,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,49e0e2bea2f1,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,af2150281952,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,6b7745a01a99,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,7f322c365f5e,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,26629117c59b,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,9fb9fdb73cd0,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,3ae623ef0547,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,18a9b7454ed9,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,1cb35ccd8f51,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,15a20d5624f1,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,29a46f84fef3,1º B - MEC,PRATO SEM A PROTEINA TRADICIONAL E VEGETARIANA,Segunda-feira
2025-02-24,344293b0a359,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,ee6d9cabbd62,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
2025-02-24,2943f13141f4,1º B - MEC,PRATO TRADICIONAL (A OPÇÃO PROTÉICA É CARNE),Segunda-feira
